round,mu,seed,delta_rep,v_t,observable_fr_step,channel,channel_label,observable_fr_step_z_within_channel
8,0.0,8,1494.6294705322944,812.3032595305122,0.0033949314552343124,blind,Weak blind,-0.7934355706374245
9,0.0,8,1621.278851455776,1940.7400142673287,0.004129169810578694,blind,Weak blind,-0.6685691820887154
10,0.0,8,337.71215675462736,1162.6843930979958,0.004158131961305663,blind,Weak blind,-0.6636438071889204
11,0.0,8,2865.420130873914,1396.1730567442137,0.002919033002359002,blind,Weak blind,-0.8743680371776483
12,0.0,8,2232.592806073604,1528.9247981454246,0.002919396249729178,blind,Weak blind,-0.8743062624325215
13,0.0,8,1181.462578533101,918.9842888803105,0.0015836681400066394,blind,Weak blind,-1.1014634845117446
14,0.0,8,2489.368643698108,1625.98855253699,0.0029614762435670287,blind,Weak blind,-0.8671500347273918
15,0.0,8,1717.0177533250535,950.0217003514408,0.004505464170606508,blind,Weak blind,-0.6045756336368878
16,0.0,8,2484.448441376153,1545.5900975496625,0.003974069454588203,blind,Weak blind,-0.6949459317833947
17,0.0,8,508.8447787584155,1658.895494586497,0.0024012660244777033,blind,Weak blind,-0.9624207685110493
18,0.0,8,2789.86740592774,1421.2804509648704,0.006312511306283128,blind,Weak blind,-0.29726473367253425
0,0.0,9,256.45178981265053,969.4212251801509,0.002123838569552774,blind,Weak blind,-1.0096007668434543
1,0.0,9,908.5744155329303,1791.6428048906382,0.0024528432862684466,blind,Weak blind,-0.9536494119561052
2,0.0,9,1281.715646260418,2276.2835333911935,0.0024522741888856336,blind,Weak blind,-0.9537461940629062
3,0.0,9,2795.7421861210023,1897.4254102296545,0.0025526648292856914,blind,Weak blind,-0.9366735137546596
4,0.0,9,1343.4746271398035,2036.9363604293903,0.0016602116525080192,blind,Weak blind,-1.0884463056851261
5,0.0,9,1181.398082627682,953.3683117210167,0.002123845391974401,blind,Weak blind,-1.0095996066055786
6,0.0,9,65.20246453909203,1249.8455634893035,0.0018733011172569964,blind,Weak blind,-1.0522077849005473
7,0.0,9,124.39212925103493,1315.5247966530733,0.002238619912304661,blind,Weak blind,-0.990080768142927
