round,mu,seed,empirical_loss,preq_target,v_t,fr_step_null,fr_step_coarse,fr_step_task_no_qty,fr_step_task_no_cost,fr_step_task_no_group,fr_step_task
12,0.0,7,336311.4886786617,330673.43428180163,1039.2646097824909,0.0,0.002448413462135385,0.02879487645422764,0.02035577358396601,0.03537358699487374,0.04866247997062716
13,0.0,7,305266.45306738454,332005.3531994387,1391.9671400140505,0.0,0.003240804348211555,0.02574695672673157,0.024777297646051216,0.03734202485979084,0.05024781844828423
14,0.0,7,324549.7192547144,333022.2258917235,887.8899026792496,0.0,0.004729823802154987,0.01917336690265102,0.027401112333651625,0.026744228491202934,0.04799163297223336
15,0.0,7,342792.36294845823,334159.8973154495,1094.2988811787218,0.0,0.006810632095289483,0.018507926003929087,0.02376853200631405,0.026072487178449958,0.033851809342219624
16,0.0,7,331696.91256205214,334947.7720327568,869.015340386366,0.0,0.0027492441248386287,0.014850405571723554,0.01897364226343357,0.023042425287853385,0.03399662914083617
17,0.0,7,341786.00923365785,335743.9831017821,724.6490026171668,0.0,0.0042830247376704125,0.01197663548417349,0.021513748314461754,0.028030688992522573,0.04290695934027105
18,0.0,7,330193.3709843125,338105.5406153169,2139.963494497526,0.0,0.0035873113546797445,0.011361336868989326,0.024268467313052225,0.020891953974543024,0.037092633902218654
0,0.0,8,328108.085403215,315113.04092638515,1305.5225009282003,0.0,0.006872540083466651,0.02003177906187293,0.17826285441885414,0.17819133595560865,0.18494675247648382
1,0.0,8,318286.66037623334,316285.9727230084,1178.010831964668,0.0,0.005052444691381079,0.02078544306014865,0.031963101199149455,0.028381396063104275,0.049099353915614
2,0.0,8,322379.766616664,318267.5769954583,1974.004297453619,0.0,0.0030165345319642647,0.016919460581166355,0.03594552635343634,0.026765676927170717,0.04601221569494108
3,0.0,8,295519.99099087174,319517.15552013094,1112.7080308405566,0.0,0.003602479795793424,0.013902205049670076,0.0348486897969434,0.027484258391311123,0.045903815207237166
4,0.0,8,315703.2160482809,321222.01667020115,1925.049871520605,0.0,0.008358317568659538,0.015986162165702967,0.024582858068777292,0.03169542415116504,0.04205135344708217
5,0.0,8,340019.57755436236,321829.27001728676,494.12117628287524,0.0,0.003295352888083698,0.01186248265597041,0.027806843700605086,0.030012184059210405,0.04011969192416773
6,0.0,8,311847.44348215277,323879.1175930233,2049.8208004363114,0.0,0.0021006455442257716,0.012623259040452566,0.028982867753740735,0.03409094044320753,0.04596526384454251
7,0.0,8,306945.61101984174,325417.46010352316,1649.3296308718855,0.0,0.009141175614886926,0.018070859176695122,0.027335079547593073,0.024338566238546525,0.03992202083290223
8,0.0,8,313183.2216054722,326548.6802437276,1102.2580468775122,0.0,0.0036948845549766387,0.012484919584396792,0.0256891849756019,0.031071792705500006,0.03890037062345303
9,0.0,8,326644.1980564814,328311.9158760161,1779.9222828149213,0.0,0.009006203184373679,0.022161880428065037,0.022492337019936845,0.03176067652684253,0.04701128416194489
10,0.0,8,323689.5018834017,329906.86697983043,1519.5078948235605,0.0,0.009447845135613087,0.018057572614878267,0.02817985276457422,0.03852441477393383,0.049941494149372295
